Tem,Wind,Hum,Pres,PM10,PM2.5,O3,NO2,CO,SO2,Pat
16.1,2.1,62.1,999.9,23,13,0.039,0.022,0.2,0.005,5
16,3.2,60.5,1003.3,47,26,0.034,0.035,0.3,0.006,9
15.7,3.6,70.9,1002.4,73,42,0.037,0.034,0.4,0.007,9
13.1,3.9,54.6,1008.3,23,15,0.035,0.018,0.3,0.004,10
15.7,3.8,48.3,1002.6,40,21,0.036,0.035,0.3,0.006,12
14.5,4.2,83.9,1000.6,31,21,0.034,0.027,0.3,0.005,7
16.8,2,60.8,1007.6,40,25,0.026,0.039,0.5,0.005,4
20.5,2.1,43.4,1009.8,32,23,0.033,0.04,0.4,0.005,4
16.4,5.2,79.1,995.2,38,29,0.045,0.023,0.4,0.005,8
19.2,4,69.9,996.9,86,41,0.053,0.034,0.5,0.009,6
19.6,3.5,59.1,992,71,18,0.067,0.027,0.4,0.01,10
18.2,4,66.9,990.9,44,12,0.045,0.024,0.3,0.005,5
19,2.9,50.3,998.3,48,14,0.032,0.035,0.4,0.008,4
20,2.3,48,1001.9,50,18,0.038,0.043,0.4,0.008,4
20,2.3,55.1,1002.4,52,26,0.029,0.046,0.4,0.007,11
21.5,2.2,45.4,996.4,68,30,0.036,0.036,0.3,0.007,7
20.1,3.7,65.3,996.6,52,25,0.033,0.028,0.2,0.006,9
20.9,2.5,63.4,1001.8,45,29,0.034,0.043,0.4,0.007,2
22,2.9,68.4,1007.5,66,40,0.034,0.043,0.4,0.007,3
21.3,2.3,68.8,1006.7,63,37,0.034,0.04,0.4,0.008,7
19.4,4,67.4,992.3,73,15,0.04,0.031,0.4,0.006,11
22.8,4.2,49.5,989.9,141,43,0.059,0.037,0.4,0.009,9
24,2.5,60.8,990.3,157,40,0.071,0.042,0.5,0.008,6
23.2,2.8,54.6,996.9,115,50,0.055,0.045,0.5,0.009,10
24.8,2.1,42.5,1000.2,65,25,0.036,0.056,0.4,0.008,7
26.2,2.6,50.3,1002.5,103,43,0.051,0.053,0.4,0.009,4
24.7,1.9,58.1,1001.8,80,37,0.057,0.028,0.2,0.007,2
22.6,2.2,73.5,998.1,77,37,0.019,0.046,0.3,0.006,5
18.7,3.5,95.3,996.2,24,15,0.024,0.022,0.2,0.005,2
22.8,4.3,61.5,995.5,18,11,0.044,0.012,0.1,0.004,3
22.9,2.9,58.8,995,17,11,0.038,0.018,0.2,0.004,9
23.5,2.4,65.1,994.8,33,20,0.031,0.035,0.2,0.006,9
22.9,2.3,70.8,999.4,36,24,0.028,0.03,0.2,0.005,15
23.6,2.1,72,999.5,28,19,0.03,0.029,0.2,0.005,9
20.5,1.9,87.1,996.4,19,12,0.02,0.029,0.2,0.005,6
21.2,2.8,73.9,992.4,23,16,0.025,0.025,0.2,0.005,6
21.3,2.9,79,993.9,50,33,0.03,0.034,0.3,0.005,7
22.5,3.3,71.6,997.1,36,23,0.044,0.029,0.2,0.007,2
23.9,2.5,66.4,995.9,33,22,0.029,0.035,0.2,0.007,14
24.5,1.9,71.8,994.7,62,44,0.045,0.037,0.3,0.007,4
24.4,3,71.3,994.4,49,36,0.05,0.028,0.3,0.006,7
22.5,3.5,79.3,996,46,31,0.029,0.026,0.3,0.005,4
24.2,1.6,76.5,997.9,46,31,0.031,0.027,0.3,0.005,7
23.1,2.7,80.9,998,23,18,0.033,0.023,0.2,0.005,6
21,1.4,91.4,996.2,25,17,0.017,0.04,0.4,0.006,12
22.9,2.4,74.6,996.4,36,22,0.029,0.031,0.3,0.006,6
23.8,2.3,74.1,998.4,46,31,0.033,0.035,0.3,0.006,9
24.4,2.4,68,997.4,41,29,0.038,0.028,0.3,0.006,3
24.1,2.8,74.8,995.1,29,19,0.031,0.024,0.2,0.005,5
23.8,3.8,71.6,992.8,33,23,0.051,0.021,0.2,0.005,2
25.3,2.7,68,998.4,29,20,0.039,0.029,0.3,0.006,9
26,2.1,67.8,999.8,39,28,0.049,0.031,0.3,0.006,12
25.7,2.5,77.3,997.1,67,42,0.043,0.029,0.4,0.007,9
22.6,2.8,85.5,992,19,13,0.026,0.02,0.3,0.005,8
26.8,2.4,62.1,996.5,18,12,0.034,0.023,0.2,0.005,3
25.7,2.1,70.4,1000,29,19,0.028,0.039,0.3,0.006,5
27.1,2.3,61.4,995.6,31,20,0.043,0.03,0.3,0.005,15
25.9,1.9,73,996.7,25,17,0.025,0.033,0.3,0.006,6
27.6,2.2,78.3,992.3,20,12,0.011,0.027,0.3,0.005,12
28.9,2.9,57.9,986,25,14,0.028,0.019,0.3,0.005,5
27.1,4,63.4,990.5,53,35,0.058,0.026,0.4,0.007,8
25.3,3.2,74.3,993.8,65,47,0.053,0.022,0.4,0.007,4
26.4,3.3,70.8,997.9,68,48,0.049,0.024,0.4,0.006,7
26.8,2.4,69.4,999.9,81,56,0.05,0.026,0.4,0.005,4
26.6,2.7,68.4,1000,47,32,0.041,0.026,0.3,0.006,8
25.9,3.1,75.9,1001.2,19,14,0.025,0.024,0.3,0.006,9
26.1,2.6,80.5,1001.5,14,12,0.024,0.029,0.2,0.006,5
27,2.4,79.8,1002.3,43,29,0.021,0.027,0.3,0.007,6
