Tem,Wind,Hum,Pres,PM10,PM2.5,O3,NO2,CO,SO2,Pat
5.7,3.4,79,1007.3,26,15,0.009,0.043,0.3,0.006,0
-1.3,3.2,35.6,1017,32,14,0.024,0.022,0.2,0.006,0
2.8,3.4,69.5,1002.4,57,21,0.017,0.041,0.3,0.007,0
-0.3,1.9,41.1,1016,44,25,0.018,0.035,0.4,0.006,0
2.9,2.3,37.8,1013.4,50,25,0.008,0.053,0.6,0.008,0
0.4,4.5,45.1,1009.3,48,16,0.023,0.029,0.4,0.007,0
5.6,3,45.4,1008.7,49,18,0.027,0.027,0.3,0.007,0
7.9,3.1,47.5,1022.6,50,19,0.019,0.047,0.4,0.008,0
9.7,2.8,35,1008,51,21,0.023,0.054,0.4,0.009,0
10.3,2.7,55.8,1008,63,20,0.018,0.028,0.3,0.006,0
11.6,2.8,40.5,1012.3,59,25,0.025,0.045,0.4,0.008,0
12,5.9,53.9,1007.8,29,14,0.043,0.016,0.2,0.005,0
11.1,2.9,72,998.1,46,25,0.032,0.035,0.4,0.007,0
15.2,1.9,31.9,1005,64,16,0.013,0.054,0.4,0.008,0
18.5,2.8,39.3,1006.1,69,30,0.039,0.04,0.4,0.01,0
20.7,2.1,64.4,1001.7,36,20,0.025,0.035,0.3,0.008,0
18.4,3,62.1,999.2,47,18,0.025,0.033,0.3,0.006,0
17.4,5.3,56.9,993.6,74,21,0.044,0.028,0.4,0.007,0
17.7,3.2,53.9,994.9,50,24,0.025,0.042,0.4,0.007,0
21.5,2.7,48.9,1001.4,47,28,0.026,0.042,0.4,0.008,0
24.3,2.2,27.1,998.7,46,28,0.033,0.046,0.4,0.007,0
21.7,2.6,44.6,1000,48,27,0.031,0.039,0.3,0.009,0
22.4,2.3,54.9,997.5,45,31,0.038,0.025,0.3,0.008,0
23.6,3.8,63.1,993.3,52,33,0.042,0.027,0.4,0.007,0
24.2,2.2,65.6,997.1,43,33,0.037,0.027,0.4,0.006,0
24,2.4,60.4,999.9,36,26,0.034,0.033,0.4,0.008,0
24.7,2.3,64.1,1000.6,41,31,0.044,0.029,0.4,0.008,0
24.8,2.1,65.1,993.4,46,37,0.035,0.032,0.4,0.007,0
25.7,2.8,61.8,996.8,30,22,0.041,0.025,0.3,0.007,0
24.1,2.2,55.8,999.1,35,26,0.042,0.027,0.3,0.007,0
25.3,2.2,54.3,1001.1,34,24,0.034,0.028,0.3,0.006,0
26.1,3.5,72.4,993.3,68,45,0.046,0.031,0.5,0.007,0
24.3,2.2,63.5,999.2,34,26,0.024,0.027,0.3,0.006,0
27.5,2.4,71.4,998.9,27,20,0.01,0.026,0.4,0.006,0
26.2,2.3,86,998.2,32,23,0.004,0.024,0.3,0.007,0
27.7,2.7,74.4,997.9,40,32,0.017,0.023,0.4,0.008,0
27.9,3.8,71.5,998.6,32,25,0.016,0.017,0.3,0.007,0
27.5,4.5,73.3,996.7,32,24,0.016,0.016,0.3,0.007,0
